,index,substitutes,sub_demand_tot,supply,byprod,byprod_avail,conversion,treatment,substituteCCs,bypCCs,treatmentCCs,totalCCs,supply_remaining,demand_remaining,demand_met
41,138,bde7404438fdfc7938698920aa9fc156,46856044.64041156,24.5244882396071,2402f073567dcd9e41421ecdf4fe32d7,24.5244882396071,1.0,,7.815233776045814e-06,1.8776419116846867,0.0,1.8776497269184629,0.0,38977066.800449595,24.5244882396071
42,55,1ee93e063d5ac749c5f62ffdfa960828,2506377.04416353,839062.4593663003,ba4f24b823d8fcbc7293bf29babd18ad,839062.4593663003,1.0,7d01cc4e185806b2a8b04ea0c4c3fa2e,1.7131261787210363,0.008414779681248924,0.0,1.7215409584022852,0.0,2506377.04416353,0.0
43,100,008a8163b4e7276347fdb6f559cb5c47,16098784.15297212,8690807.18198889,f59eb71ce814b136ab44587b2684265b,8690807.18198889,1.0,1a6720e85c6259e84e0f2d56e555eb44,2.1789495351473334,0.28452599276163204,0.7760890824766435,1.6873864454323217,8690807.18198889,0.0,0.0
44,104,008a8163b4e7276347fdb6f559cb5c47,16098784.15297212,8941.04124548933,a6f999e78e1d1cc5674feb59b3a4b104,8941.04124548933,1.0,1a6720e85c6259e84e0f2d56e555eb44,2.1789495351473334,0.28452599276163204,0.7760890824766435,1.6873864454323217,8941.04124548933,0.0,0.0
45,53,d6f0a3a0933866c2f8d7eb83db02c9aa,2645650157.845951,143590.13485113982,e079bc1a542536f8154d5eb43dd64d36,143590.13485113982,1.0,20f8fd229472f0f624c716596dd2e54e,4.123605220519279,0.017466766558701902,2.4755138805038657,1.6655581065741147,0.0,2645506567.7111,143590.13485113982
46,101,69f70a726a37a26582f9ad9057c4d06e,12580077.471872045,4.573974911571168,015e9aef83f1014882a2a0f9f96ac17e,4.573974911571168,1.0,1a6720e85c6259e84e0f2d56e555eb44,0.24650148807300654,2.06563325192231,0.7760890824766435,1.5360456575186734,0.0,0.0,0.0
47,89,13c3413a7ddca42350133727eac1b22d,1369.6142796765726,866894.332204825,83a85fcfbb769a87a41768e1a717533f,866894.332204825,1.0,37b4e76d83d87e52990fddc037e0ee4a,1.4071169471960325,0.005301494238453416,0.0,1.412418441434486,0.0,0.0,1369.6142796765726
48,136,bde7404438fdfc7938698920aa9fc156,46856044.64041156,38355.0165456162,db84948fd4d6f465fad663fc3c6a5f2d,38355.0165456162,1.0,,7.815233776045814e-06,1.375549324994122,0.0,1.375557140227898,0.0,38977066.800449595,38355.0165456162
49,88,602fbafc565ed9ac17414cd141a367ed,3886797.8954560207,6347.55031979828,6d86583466d6fe8e69f0716c8a18f8c8,6347.55031979828,1.0,c03201092837c82f4a0fa39214ff7431,0.6106972361737569,0.6217703265299321,0.06058183795128898,1.1718857247524002,0.0,0.0,6347.55031979828
50,12,92e387e281a6aab351faf6cedbfce012,33557.78880869144,4277.64564678248,04a35152bc7d9eb1dc15b149eef855ed,5347.0570584781,0.8,786a4cc05c6ddb989a823e63f0a44809,0.9389886928809176,0.37258946816143956,0.2809602294802145,1.1237652986025026,0.0,0.0,0.0
51,15,d526bb3cd54b6a4100208f40cc5ee59c,3598103.676490877,4277.64564678248,04a35152bc7d9eb1dc15b149eef855ed,5347.0570584781,0.8,786a4cc05c6ddb989a823e63f0a44809,0.9160375677191319,0.37258946816143956,0.2809602294802145,1.1008141734407169,0.0,3503862.137947718,4277.64564678248
