,codes,activities,units
105,53911325a4eda651c0a21f6fe3a4a3de,"market for polypropylene, granulate",kilogram
106,705a03823b51918eb03c09654756cfb4,"market for impact extrusion of aluminium, cold, tempering",kilogram
107,5ad3fb2cbe80a918f333aff5a905cfe8,"market for tillage, rolling",hectare
108,19eec7a967571e8e0b961cbccc453351,"market for fertilising, by broadcaster",hectare
109,f6833301ad1e428be3af6d2554fbe611,market for cotton fibre,kilogram
110,331fa4f65100988644caa3d0fcf2718c,"market for fluorspar, 97% purity",kilogram
111,7da8f46e0f2b95a0953a487f399bffec,"market for impact extrusion of aluminium, cold, initial surface treatment",kilogram
112,b2ed3b3926bb5864851323822cb74f11,market for used motor scooter,unit
113,1a4a409f4ea1ceaffb26c7cfd38b785b,"market for paper mill, integrated",unit
114,5c21e69efe0c88f938a6ac1d0a310eab,"market for heat, district or industrial, other than natural gas",megajoule
115,a68d57e9afb75943e08d8900a77e6b34,market for carbon tetrachloride,kilogram
116,c32d6014d7019588edf910c67b3d7ae8,"market for electricity, medium voltage",kilowatt hour
117,40bc7f444be337f6ee6c42e0d1c16106,market for strawberry,kilogram
118,21041225b28f8ae1874d1228388e7bca,"market for zinc coat, pieces, adjustment per micro-m",square meter
119,d2a2233650e8df9e2a1382efe3d4954d,"market for lime, hydrated, loose weight",kilogram
120,3ecd7cb07efe822b692dd35796a4ae4c,market for chromium,kilogram
121,bedde173553048a2f18a5a42a09341e1,"market for capacitor, film type, for through-hole mounting",kilogram
122,7b74872248538a77bacb66319dbf343f,market for potato starch,kilogram
123,a8efef44a5d9ea06a2beb32608747826,"market for cable, connector for computer, without plugs",meter
124,8d213fde8b4e2c45243a87312080e754,"market for rosin size, for paper production",kilogram
125,343c18d59779b97aa1f03e0e160575dd,market for rolling mill,unit
126,5dd704a06a828a85cba4784a08539e6b,market for sodium tripolyphosphate,kilogram
127,d153f3c5551a2dc9f241afba5c10baab,"market for electricity, medium voltage",kilowatt hour
128,2cb630053c2fe24eaa403ac583c225c0,market for aluminium casting facility,unit
129,466bf4344a5a3c72e47ecb0aa43b26a2,market for sludge from pulp and paper production,kilogram
130,7bb05332bb1f04244aa1ca80c6fc307a,market for 1-pentanol,kilogram
131,129f413137224cbff5a33eedf24f99f8,market for wastewater from concrete production,cubic meter
132,4dc7424b0e070c5b03cd850f4e3f353b,"market for electricity, medium voltage",kilowatt hour
133,ac6a93b44b645a4d623be0187b008515,"market for carbon dioxide, liquid",kilogram
134,4ee50c9f6841d882cac7e39c6acb2187,"market group for heat, central or small-scale, other than natural gas",megajoule
135,1dd34b133191c752093d24011102b0d5,market for waste polyurethane,kilogram
136,84703a1182e608ef89e1f286c436815c,market for dimethyl sulfate,kilogram
137,b78a4c57e0cf3ced66278547a88073b0,market for waste concrete,kilogram
138,c6d5b7ed36ef2c2d3924736a8be3af45,"market for polyethylene, high density, granulate",kilogram
139,598d6a8c6850bb4e35d15373fa8fe54d,"market for propylene oxide, liquid",kilogram
140,e48eb582584f19e96b57b3c41d1bae2b,"market for electricity, medium voltage",kilowatt hour
141,e4f7fdf7f44be419bb26359d38139122,"market for steam, in chemical industry",kilogram
142,28d84e33fab274f1fd9b046f7e166a7d,market for sodium methoxide,kilogram
143,c5199723e7104a11950d8881aa917908,"market for zinc coat, pieces",square meter
144,d490921b595b2023e77a9b47e4504151,market for phenol,kilogram
145,0c24b7cb44f1de88b9d577524b332022,"market for borax, anhydrous, powder",kilogram
146,3eb08a329bbd273fc85876abc6d197a3,"market for process-specific burdens, hazardous waste incineration plant",kilogram
147,c30b1dd08753e7744e2ff0e8425901d0,market for wastewater from glass production,cubic meter
148,85a1e5fa1036447771eb6238db8df779,market for residual material landfill,unit
149,0b13cadf836bc2aa5d48c6ec872066e5,"market for electricity, high voltage",kilowatt hour
150,90481327644490869c751f49eb756343,"market for wood ash mixture, pure",kilogram
151,8747c4e23134acd1a6d977adf0a013b7,market for tap water,kilogram
152,2406835bca0fe5c01c7d6e61e4de409a,market for ash from paper production sludge,kilogram
153,ea9a2f131035a67f575545223cb3e1c0,"market for natural gas, high pressure",cubic meter
154,d24ca3666555a0ffebc18ccc753052bb,"market for electricity, medium voltage",kilowatt hour
155,291ecbecaf405eb3caa123876dfdcdc6,market for toluene diisocyanate,kilogram
156,795ccd5ddfedbbba042ce8965b33aa15,market for solder factory,unit
157,3200dcb1e1249ee6c024f96039b7ea0e,"market for transport, freight, lorry, unspecified",ton kilometer
158,e8eef1856085c8663451a6e3ba0a48bf,"market for electricity, medium voltage, aluminium industry",kilowatt hour
159,bdff1866c3e10ed0c7d6165d3ec3cf52,"market for printing ink, offset, without solvent, in 47.5% solution state",kilogram
160,b5057a961be79384fdbb6485a8ec7ea0,market for monochlorobenzene,kilogram
161,59fb21cf8d94f9c5df5348040633fdf3,"market for electricity, medium voltage",kilowatt hour
162,e079bc1a542536f8154d5eb43dd64d36,market for scrap copper,kilogram
163,04c0b1b7d1ad8bffaec0824dad10684f,"market for cement, Portland",kilogram
164,6d703d1d64c5798824174f687c8911d6,"market for quicklime, milled, loose",kilogram
165,a48c542318dc815e3c0029cfdb8e84ef,market for ethylene oxide,kilogram
166,b754422beafe131baf7e45504ce36f9e,"market for electricity, medium voltage",kilowatt hour
167,1f47a4d792fdeda7fc0d46c6314f9493,"market for alkyd paint, white, without solvent, in 60% solution state",kilogram
168,d29f774396ae7b4f8f608bc3e6dc0941,"market for refractory, basic, packed",kilogram
169,2524ca1417264d941a21457a52c33c86,market for sodium tetrahydridoborate,kilogram
170,ff6738898b69dd03748beaed4a39dcd5,market for benzyl chloride,kilogram
171,1b356f5cbcec2645831d4e703c77006b,market for hydrogen fluoride,kilogram
172,3eeb929c4385e7e3211d68d3bb861c2d,market for waste paperboard,kilogram
173,15695c2e92eb9f34be72b45fe3a926d7,"market for deinking emulsion, in paper production",kilogram
174,b743e5adf5e24d4cf74331e8f22a9fd9,"market for electricity, medium voltage",kilowatt hour
175,46e5abacfa92d8b4f20b58971ff72bad,market for printed wiring board mounting facility,unit
176,692125a71591ae93f72628a415fc1116,"market for manure, liquid, swine",kilogram
177,213ff12a44306278f2a8c700f948108e,"market for acrylic dispersion, without water, in 65% solution state",kilogram
178,9fcb0bbadae579ed9d8fe4465f450769,market for hard coal briquettes factory,unit
179,d3e4be4bdcc407943263ebe7717028d6,market for filter dust from Al electrolysis,kilogram
180,2b801a5a604d74125cd6a4d0a6819c02,"market for electricity, low voltage",kilowatt hour
181,aec924b089a087eea85d8a7ec70454fc,"market group for electricity, low voltage",kilowatt hour
182,fdf88538614dffcc9ed8011b059f4421,market for nitrous oxide,kilogram
183,002ebeb1ca3506ef21cf04a01446e8e0,market for zinc,kilogram
184,cb760e1b41379166895e527359765ac4,"market for solid manure loading and spreading, by hydraulic loader and spreader",kilogram
185,b7aa3e54075175119a27ad35ad59ac0d,market for cyanuric chloride,kilogram
186,0b5d8c10eb01a0331d8c01c5834592c1,"market for paper mill, non-integrated",unit
187,0e2f3633d5f238497c3c47f096c0fcee,market for polyol,kilogram
188,8b22c5e40999ff9bde17d432ab2c1de1,market for polymer foaming,kilogram
189,a067e70c6e57c93118e713a1e0f4b91a,"market for wastewater, average",cubic meter
190,2607ec42bfedec2df35733f7d770b8a1,"market for chlorine, gaseous",kilogram
191,82884820c1f38c7e87f7bbaecb46a4ae,"market for quicklime, milled, packed",kilogram
192,b525361470b501ce153428a5cf415bf0,"market for capacitor, tantalum-, for through-hole mounting",kilogram
193,9fbd741ee947d03d13520597968672af,market for coating powder,kilogram
194,f63f241b3364d9602dbd63e90ab4c6df,"market for liquid manure spreading, by vacuum tanker",cubic meter
195,ba4746d8988c05a6bd2a32e9bf24b48d,"market for concrete, normal",cubic meter
196,3e454d1de00bb07c4a933e9460ed8c2e,market for butyrolactone,kilogram
197,82855049a6b3730f9c8f52017f945867,"market for limestone, crushed, for mill",kilogram
198,d4d6b364e3cfffd879b4d1da6f6b0c06,"market for particle board, for outdoor use",cubic meter
199,f5fce40af08ede7bd96cc1f45f01dd55,"market for soda ash, dense",kilogram
200,2c7a5d1d203ae771c37637361df5a5ab,market for nylon 6-6,kilogram
201,39a8cebfd035d9b6050bc33f67231034,"treatment of waste cooking oil, purified, esterification",kilogram
202,29a788950ad2d036c290069a5a67beca,market for blister-copper conversion facility,unit
203,49dc4e27c9ed7738a098359b7fc581fa,"market for building, hall, steel construction",square meter
204,f5055093d28e8e2569c98abb21cd7dad,market for liquefied petroleum gas,kilogram
205,ea05a91c00317ae852ab0c3bfa6693c3,"market for energy and auxilliary inputs, metal working factory",kilogram
206,ec3ba733bb0f3676263ec6b3040674a6,market for soap,kilogram
207,bd20646b379b62c40cc0105566d8381e,"market for soybean, organic",kilogram
208,4d1307ef14def19c2bc287a4ec602391,"market for chlorine, liquid",kilogram
209,313c1aebb6276d5b06eb90a8832d9f5c,market for flat glass factory,unit
210,2f82833973570115ca4d6348dbd92f6e,"market for wooden board factory, organic bonded boards",unit
211,88fa17cf5c99fce9dda81683436252bf,"market for packing, clay product",kilogram
212,bdc819a267c24b4596c22af83a23ce0d,"market for recultivation, ilmenite mine",square meter
213,debce1e4aae549b2f57117a9bf98b767,"market for electricity, medium voltage",kilowatt hour
214,ba2abd9b6d43ca4aafe66bbc57a03b80,"market for sugar, from sugarcane",kilogram
215,5146116509f19660237ee3af80f4a3ea,"market for heat and power co-generation unit construction, 6400kW thermal, components for electricity only",unit
216,69f70a726a37a26582f9ad9057c4d06e,"market for waste polyethylene, for recycling, sorted",kilogram
217,a0386040e75f42a0e7c22918cb5f7b35,"market for flat glass, uncoated",kilogram
218,d0f166bfbe1fb1aa1a967953eab25834,"market for sugar, from sugar beet",kilogram
219,16a0cc2b960517666d6b9540fb3f1f5e,market for bilge oil,kilogram
220,379388913fee422a915764b6a021fd91,"market group for electricity, medium voltage",kilowatt hour
221,6d3bfa777b6ac82fa9981ad1c01c8c9e,market for waste emulsion paint,kilogram
222,dd8c5f7ab3efa73b4d5f2cb6fd7bf719,market for perlite,kilogram
223,c05ea0027092b9ee73f5ee4e5fdf008d,"market for anodising, aluminium sheet",square meter
224,edbaea89ab7aa7737a7cb6690ba74efe,"market for natural gas, high pressure",cubic meter
225,bc098acf2ab9199a4e866cb6fcbec850,market for waste reinforced concrete,kilogram
226,344113f48b5330ff0263131a98526ea0,market for electronic component factory,unit
227,4400296f42aa93b2281409664d29c29b,market for waste concrete,kilogram
228,702a88889608b24d67459174547ec958,market for irrigation,cubic meter
229,af11d494d83d649af084515dacb076b2,"market for wood chips, wet, measured as dry mass",kilogram
230,f251fe25f914044c5d0f447679eacf4a,market for styrene-acrylonitrile copolymer,kilogram
231,13cd130a5d89ef77b329342c60afa8b9,market for dimethylamine,kilogram
232,312a1abcbe3e1d3ecb4b3c698b92b7ce,"market for recultivation, limestone mine",square meter
233,0f849d9fbaff07c9619cff16b05774dd,"market for gravel, round",kilogram
234,854d4bed4a9dd7836c71c29e9051d6b4,market for charcoal,kilogram
235,bb2f1e6c1b655c59a945c637c6f78d17,market for acrylonitrile-butadiene-styrene copolymer,kilogram
236,70a79e8d3f7070193d50cedd749fd91a,market for ethylene glycol,kilogram
237,a53a695ed2a35257ce5da48d77d5e654,"market group for electricity, high voltage",kilowatt hour
238,a62abdbe38a6e96f88abda734ab7d2d5,"market group for electricity, high voltage",kilowatt hour
239,4ca53fb9485caa50b90f890a12374511,market for waste polyvinylchloride,kilogram
240,a1e7e47b17337c676ecd01ef0d62a069,market for inert waste,kilogram
241,174e5079a7fb33b85a365b37a8579bba,market for irrigation,cubic meter
242,3dc2f06a598fb970688cc8daec62a6d2,"market for heat, from steam, in chemical industry",megajoule
243,efff8d07be8e82f77d71406aaed5790e,market for formaldehyde,kilogram
244,ba4f24b823d8fcbc7293bf29babd18ad,market for scrap steel,kilogram
245,7f10f6c5e34e01e73dd3a509adab3953,"market for wood chips, wet, measured as dry mass",kilogram
246,52e48f1fc2eeb639471440cc9c059e72,"market for heat, central or small-scale, other than natural gas",megajoule
247,4d0177e8503bbe6dfb322081668552b5,"market for ammonia, liquid",kilogram
248,d75d7fcdb6c7568ebc1100d8469ff3b2,"market for molasses, from sugar beet",kilogram
249,7735b1293a8375a41a44431bd9db3f73,market for spent solvent mixture,kilogram
250,309506258311a0a819d04107b6a5bb27,"market for sodium sulfate, anhydrite",kilogram
251,1506beaeeaf08bf271709ddfa1320e80,market for refrigerant R134a,kilogram
252,c4989ea20f06040453f9d3d59821f19a,"market for resistor, metal film type, through-hole mounting",kilogram
253,6e1d8b37a585e41c9803563a3d321896,"market for acetone, liquid",kilogram
254,97ae7950ed34c2401049776a3557b49e,"market for electricity, medium voltage",kilowatt hour
255,ee2eb2ace69d02cf8be1f41f7667b348,market for molybdenum,kilogram
256,0f10b7c564e830df89f7a2343cc00ec6,"market for hydrochloric acid, without water, in 30% solution state",kilogram
257,da75730573ec8b1b75a02f3f01b09269,market for maleic anhydride,kilogram
258,9520086e966234acd33639094b3ab757,"market for carbon dioxide, liquid",kilogram
259,6e30abb84525fa499be6aa221bd7f57f,"market for electricity, medium voltage",kilowatt hour
260,a53a2167ffe9c44c4fa97c86be58e753,"market for electricity, medium voltage",kilowatt hour
261,45a241df987c856fc57d9211418bdb96,"market for diode, glass-, for surface-mounting",kilogram
262,e034e3702b3eab77ec1d6bc41a9b2b6e,"market for impact extrusion of aluminium, deformation stroke",kilogram
263,8a35f728285a025c6ed3153153015e03,"market for toluene, liquid",kilogram
264,57be921c187a002b9a4956a6b0692b2f,"market for electrode, negative, Ni",kilogram
265,d526bb3cd54b6a4100208f40cc5ee59c,"market for cement, Portland",kilogram
266,4956343d45f1e4da6d6c635bd17a7f3f,market for waste x-ray film,kilogram
267,6f5091ffb64247e80fccdfb351fd0e9f,"market group for electricity, medium voltage",kilowatt hour
268,06564f5d5c4d179c3e3aa6fc74e436cd,market for wastewater from vegetable oil refinery,cubic meter
269,ecc112c8ea11590d8f73849d08094b7b,market for concrete mixing factory,unit
270,0312ec78256701975ed035c5febcf05c,market for hydrogen cyanide,kilogram
271,12ea2431c99adbd826b000654e61008d,"market for printed wiring board, surface mounted, unspecified, Pb containing",kilogram
272,0e38468bdff3c8dbfd8bf187bf770d0e,"market for electricity, medium voltage",kilowatt hour
273,2f20c2a049ba5441e42ccd527027715d,"market for argon, liquid",kilogram
274,355d7e99faa8e12d2f677e73e2423eae,"market for electricity, medium voltage",kilowatt hour
275,9264545c58a551677d74fbba7dd3b038,"market for heat and power co-generation unit construction, 6400kW thermal, building",unit
276,c719f555c112a04edc1c471cb94dbdbe,market for waste glass,kilogram
277,ef905bff55a0d5c1fbb00eef88eb67b9,"market for quicklime, in pieces, loose",kilogram
278,ec1216b8c34d1f9ff4e72afbfa17d702,market for 1-propanol,kilogram
279,79e9b7bd109ae0171c019c38957d0214,market for wheat grain,kilogram
280,6d656e138e0bda92b92375bf00aa749f,"market for nitrogen fertiliser, as N",kilogram
281,8a8ceeffd1737774f88a158c58329c39,"market for building, multi-storey",cubic meter
282,3188d23f89079fe1ac63e4e280bbca35,"market for silicon, metallurgical grade",kilogram
283,50d59f53fa95c763cb6dbb4643ab2fdc,"market for concrete, sole plate and foundation",cubic meter
284,90d3a1f8dcf3f235671beff6914fc0e5,market for wastewater from potato starch production,cubic meter
285,096c4b2f40ab65e044d66b94da6bfbc1,market for maize starch,kilogram
286,9266b0860c23119094314b2ce1c810db,market for adipic acid,kilogram
287,797f39395ebf063cc7aa1bec6a5da92e,"market for electricity, medium voltage",kilowatt hour
288,70830f0160ef3c5ec06fa933ca39626f,market for heptane,kilogram
289,891018bdf75d4070b73656fb071d59ef,market for waste glass,kilogram
290,5bffeb5912b3ffe3275880f6a010b945,"market for wastewater, from residence",cubic meter
291,c38aa059b7d23ec512f2f0f3f697c37f,"market for wire drawing, copper",kilogram
292,58d78128cba68854116362464b38a8f1,market for spoil from hard coal mining,kilogram
293,60cc17f6bd6b19af3080715b2c8c55ef,"market for electricity, medium voltage",kilowatt hour
294,67f1db73e3e72076a2191fe85db15d14,market for fly ash and scrubber sludge,kilogram
295,e44080f6c21efc8d2b5d3f432512c76d,market for zinc concentrate,kilogram
296,6bc2a70f65dd14e3b13e82201c01829b,"market for coconut oil, crude",kilogram
297,ec6f03e8f121139fb262f7c82912237c,market for sand,kilogram
298,5838561e1541ec3b4fca26daf3a7981c,market for ash from paper production sludge,kilogram
299,4207a3fd0d07ed0f243913f1eb0b17c7,"market for cement, Portland",kilogram
300,35fbac7092d1116e276d050da24c64e3,"market for electricity, medium voltage",kilowatt hour
301,fb999f9d204d56fff815eb787520ffdd,market for activated bentonite,kilogram
302,7c42ac8bf066808b853f9a90563453ae,"market for dust, unalloyed electric arc furnace steel",kilogram
303,1ac3e59814ba3421240b0a701b34afd6,"market for electricity, medium voltage",kilowatt hour
304,880f21ffa12b9851ed661d18deab0f8e,"waste paper, unsorted, Recycled Content cut-off",kilogram
305,a8f0db7d650f81f2f1e0e7e935bc05e0,"market for boric acid, anhydrous, powder",kilogram
306,fab73489702637b9c40b4d35fd61e519,market for waste polyvinylchloride,kilogram
307,7d96605e8ad1448f88d55dcaa4278572,"market for heat, central or small-scale, other than natural gas",megajoule
308,3717e699a0ecba1cd853037b8ba6c0c1,"market for natural gas, high pressure",cubic meter
309,69b912f527f88517a8d43feb15f439a2,market for waste paint on metal,kilogram
310,254fb22d2cb90b8442a349f99ba7b5c3,market for strontium carbonate,kilogram
311,813039d3363e39475475b51a01e72730,market for glass tube factory,unit
312,5352c21db406b2d4162d6b964a967167,"market for hot rolling, steel",kilogram
313,f251505cc50697e48bd332a33b94120a,"market group for electricity, medium voltage",kilowatt hour
314,427395335def07e47f30b1e9ec48c3c0,market for acrylonitrile,kilogram
315,01ce889956d35771418dd8f08015c69b,market for hard coal,kilogram
316,7cfb7e65ca49a1aa7cf8d80f8b3e19d5,"market for polyethylene terephthalate, granulate, amorphous",kilogram
317,c1a99630272a230020c35f7bb22a5b49,"market for polycarboxylates, 40% active substance",kilogram
318,5b26700e63a6bfa75af2ebbb2f16f9d3,"market for electricity, medium voltage",kilowatt hour
319,fb5aaef027f2870f68948dbbb363efef,market for lead,kilogram
320,02e332d3db91702195b8f076b367bee8,"market for electricity, medium voltage",kilowatt hour
321,18d8b8e2112d031cfe8efe702bba6e0d,"market group for electricity, medium voltage",kilowatt hour
322,d99c74cf656b4b2572648bb8835690b8,market for electric arc furnace converter,unit
323,b21250df3bb1dd40643b058089240295,"market group for electricity, medium voltage",kilowatt hour
324,5ba869bc75f3637aa42ab50221d68a1d,market for scrap copper,kilogram
325,ef0b4449ba624237510a2f4fbecdb846,market for fatty acid,kilogram
326,37b84e38b9a81c502c747b2269d0f553,"market for adhesive, for metal",kilogram
327,8eb571534bc1b42768adeeaf2c5531b9,"market for petrol, unleaded",kilogram
328,b487c59283ee4acb418f463687d2d5c0,market for nitrobenzene,kilogram
329,ea12433541a607ce5f8fd88c19ed1abf,"market for electricity, medium voltage",kilowatt hour
330,f1167e6e5407102a88be72251308601e,market for planting tree,unit
331,16a12a476d4fa5ea8e9d2aa5de31b2ee,market for methylamine,kilogram
332,285a2c7b1dc4303135405c7445a685c6,market for polycarbonate,kilogram
333,9eb88611486e687e6936d5d53ca08f21,"market for electricity, medium voltage",kilowatt hour
334,31609dff1feecf6547902506b3d9e527,"market for energy and auxilliary inputs, metal working machine",kilogram
335,bdaf73b4423cec50f907e07cd2ed56e9,"market for glass fibre reinforced plastic, polyester resin, hand lay-up",kilogram
336,e8b703ce471c777f85e791ed87add66e,market for o-dichlorobenzene,kilogram
337,5093117becc60c17aa11cf03dbc4504b,"market for hazardous waste, for incineration",kilogram
338,0c338ec94860ac2ccaded05dcef4d1b2,"market for electricity, medium voltage",kilowatt hour
339,f06ff52f4f9a99de0d71534e50eb40cd,"market for electricity, high voltage",kilowatt hour
340,0f5d8d496d20c6872247965f4435daad,market for oat grain,kilogram
341,f62bd9d4ee88b2bb7666b9692ae5b74b,"market for application of plant protection product, by field sprayer",hectare
342,977050c5e7c66159f8cd85600d32ab4c,market for conveyor belt,meter
343,fbfb0a8af6ddd443d2fb99b8966cf90d,market for hard coal,kilogram
344,62e1ce20b2e357a7589fa83c3bf803a7,"market for cement, unspecified",kilogram
345,d32e1ee9ffc93e2d73d8a892660ecfc8,market for hard coal ash,kilogram
346,17645371ca69c3359944e24fda0453d1,"market for water, ultrapure",kilogram
347,d3938b796c59ba5ebe25d59b2c3872fa,market for light fuel oil,kilogram
348,1352ab56a2f7ba69bade2fef3791abcd,"market for electricity, medium voltage",kilowatt hour
349,ca96cdbdd2c2886ddf39211ac8c7f845,"market for potassium sulfate, as K2O",kilogram
350,9c266f7fe439da8f4646151434235457,"market for electric connector, wire clamp",kilogram
351,52e2129d2954b5b387f8a2bb0700bc9d,"market for electricity, medium voltage",kilowatt hour
352,f55413e999f43636c030594232a1ced1,"vinasse, from fermentation of sugar beet molasses, Recycled Content cut-off",kilogram
353,669b268fc988b1d18351b41be462354d,market for linerboard,kilogram
354,d4640b5c48fb136c8688c1e3739dc93d,"market for chemical, organic",kilogram
355,7093f46aee5e7f1eafb9700530fb7437,"market for diesel, low-sulfur",kilogram
356,39f553a9a30d20f407931e9d9c2e9d46,market for wastewater from maize starch production,cubic meter
357,b1a148669e2b44740bd06bd6bbcf6b50,market for isopropanol,kilogram
358,37f034054cc55e616f8d2fcba2284c99,market for vegetable oil esterification facility,unit
359,5d0d1fca5d5cbdce5750799627778af7,"market for chlorine, gaseous",kilogram
360,fec58ff21004a94693c6ce466aefc832,"market for electricity, medium voltage",kilowatt hour
361,94bda631dd4d3ce7cad3e139cdefd860,market for whey,kilogram
362,b2803f443761eefce79b73617b960cb2,market for vegetable oil refinery,unit
363,67ef55df095d896061825d4d42114c52,"market for cottonseed oil, refined",kilogram
364,a937f1ef1155dff68ab809f359b08cac,"market for cable, network cable, category 5, without plugs",meter
365,93822941b12fd28c1b0ccdf453d6969d,market for waste emulsion paint,kilogram
366,89fc42c32affae51f9609d4bec1b4722,"market for quicklime, milled, loose",kilogram
367,fe46fc6c59e5af6190150d896ebcf815,market for solid unbleached board,kilogram
368,58d09ad561d2e7a453765eb9c6f6976e,"market for electricity, medium voltage",kilowatt hour
369,e71632f9a8b384da8d8dd7aa0a578961,market for spent Formox catalyst base from formaldehyde production,kilogram
370,bf70714ddde4563bbe468de543150c12,market for solid bleached board,kilogram
371,ad0000edc1151deaa19ff1d1ff20d2e4,market for stucco,kilogram
372,ed4dac89c36acd7407661518d818f094,market for municipal solid waste,kilogram
373,030a9b885ca8508d717026a73f539de3,market for lime,kilogram
374,9490dd3a1a2ce2a32b4afabb9a690b11,"market for electricity, medium voltage",kilowatt hour
375,caf64849c02f8599de1286dd71d0ffc4,market for hard coal,kilogram
376,2031b08dadfdc43e0f307fd95dd621e2,"market for electricity, medium voltage, aluminium industry",kilowatt hour
377,b295e0aa095aaa4a1718096eb44104de,market for methyl acetate,kilogram
378,4a5863ef5013e9c47b5289145522afe6,"market for waste plastic, mixture",kilogram
379,d82156c2de5c3a07fc6d87490112ba2f,"market for gypsum, mineral",kilogram
380,f1bf681f291c9db9a14b7513c095ad2c,"market for transport, freight, sea, transoceanic ship",ton kilometer
381,db838f54f40b2ef16348a685b98ceddc,"market for electricity, medium voltage",kilowatt hour
382,38d7e54a03b923b3844a190612921887,"market for sawnwood, beam, softwood, dried (u=10%), planed",cubic meter
383,205d8c93fd695eca8f07d7f05201c323,"market for waste plastic, industrial electronics",kilogram
384,84b1012094b91b42aa8221047cf1d8f7,"market for slab and siding, softwood, wet, measured as dry mass",kilogram
385,dcd297bc5165257f6c313680727a2444,market for nitrous dioxide,kilogram
386,e83142367a7cdbe75611f543c4f68960,"market for electricity, medium voltage",kilowatt hour
387,a2105bd7d100a8d7742c87c26161c3ce,market for potassium permanganate,kilogram
388,4b9afec4140871ca116cb2dc363c7cb5,market for polyacrylamide,kilogram
389,d623d4553968985575bdf953b96519bc,market for polyphenylene sulfide,kilogram
390,6bfa255e6c2d71bf0405a5f1c2561f44,"market for urea, as N",kilogram
391,02cdd2df65932dce703ded532a32b2b7,"market for nitrogen, liquid",kilogram
392,dd6d2a4b0531083b2aec3f8d3335a437,"market for steel, chromium steel 18/8, hot rolled",kilogram
393,8be8c7eadbad4a1e4261bbee1d388cec,market for gold,kilogram
394,e3d285b3d06ee2ca7f2cbdec998cde22,"market group for electricity, medium voltage",kilowatt hour
395,64dd86ca92b77ef8f03eb2170879c780,"market for acrylic binder, without water, in 34% solution state",kilogram
396,ac537cb970e710832850d4b1a5a84323,"market for non-sulfidic overburden, off-site",kilogram
397,8bff72eb6ecd7de558ffbf4ed2bcd3a7,"market for electricity, medium voltage",kilowatt hour
398,c214076cd7f42ea7f47398473f4c14b9,"market for wastewater, unpolluted",cubic meter
399,88e741ba6667879c9943632e7b0017aa,market for ammonium thiocyanate,kilogram
400,96175e086302e08e38dfe759947268f8,"market for heat, district or industrial, natural gas",megajoule
401,6a10d8aa915e12fa3626a51f8e163196,market for carbon disulfide,kilogram
402,eab43ddf1f54a559f83b6b2edaa7940a,"market for dust collector, electrostatic precipitator, for industrial use",unit
403,acbef5ccadeae3db719754fddfc91b9d,"market for electricity, medium voltage, aluminium industry",kilowatt hour
404,822bedf325fed918ecd9a7c83490e7cf,"market for natural gas, high pressure",cubic meter
405,cf96d53793771418f3a8fa1fcc3e4062,market for pulverised lignite,megajoule
406,08f694439866013a72b4bb25ab5d94d4,"market for waste bulk iron, excluding reinforcement",kilogram
407,15b464939b82d938c6cf6566ca4a044a,market for scrap steel,kilogram
408,ee75cc48e0195e857f577e44dd699bf9,market for phenoxy-compound,kilogram
409,1be0e812732381b0e2644f9fe56c9253,market for aluminium oxide,kilogram
410,a222dbf85924fc0aac1471bfb757efd0,market for ethyl acetate,kilogram
411,bb3477bde0c4f3663411a73b144f9b7a,"market for aluminium, cast alloy",kilogram
412,eebbe9ff3533a51b0d13b1a843576112,"market for electricity, medium voltage",kilowatt hour
413,c4b59d56aa3ee83c76e6b5ff504920d1,"market for electricity, high voltage",kilowatt hour
414,ce614e1924f5224da41a6cc7539608f2,market for fly ash and scrubber sludge,kilogram
415,c7dc74449ffe347834f24f866de997fe,"market group for heat, district or industrial, natural gas",megajoule
416,32f61b5d85c9ec54dff497f07e317600,market for tin,kilogram
417,edfe8b63c4c9bf4616e2be034b7c702f,"market for electricity, medium voltage",kilowatt hour
418,c28401d157a3147e1486dfe8f84ce0ea,"market for wastewater, average",cubic meter
419,17bf2b1f7012e9876d1853ce99e26e97,market for heavy fuel oil,kilogram
420,2c875fc3121a32096e63af628ef3ac49,market for triethanolamine,kilogram
421,e232c718148a0585de8585ed7dfdaf1d,"market for electricity, high voltage",kilowatt hour
422,01b54508bf076b1a3ce4dafec548eea8,"market for transistor, surface-mounted",kilogram
423,fd1c6f1ddec70895e242a54ef882b5fa,market for sludge from pulp and paper production,kilogram
424,b9ba2d484c120f3e5da4baeebaa990c2,"market for electricity, medium voltage, aluminium industry",kilowatt hour
425,4b786aaa59989df3b956051325a41a31,market for calcium chloride,kilogram
426,fdf6cea974ff4fa790cca059353d203f,"market for phosphoric acid, industrial grade, without water, in 85% solution state",kilogram
427,0d6c5fb48cd310674e93b4aa9bc4849e,market for ammonium carbonate,kilogram
428,c642c6773d93c9775a6cb5ab9d10684a,market for biowaste,kilogram
429,14c6a4d9a3376a3435841daacdf65449,"market for waste wood, untreated",kilogram
430,2358bf23f62ee02b19b6445c077a654f,"market for electricity, medium voltage",kilowatt hour
431,da754180036e606dd62c1bdb085bcf1f,market for anthraquinone,kilogram
432,820aeae915391f4bad76e59d127a6739,market for xylene,kilogram
433,502d801475028b62a369101cf3945e7e,"market for tallow, unrefined",kilogram
