,codes,activities,units,Totals,Small,Medium,Large,Mysore City
570,db84948fd4d6f465fad663fc3c6a5f2d,market for wastewater from plywood production,cubic meter,-38355.01654561623,-6635.381090934617,0.0,-31719.63545468161,-35460.35860128603
571,8a35f728285a025c6ed3153153015e03,"market for toluene, liquid",kilogram,366390.3272615454,366390.3272615454,0.0,0.0,330424.28898456733
572,6992a03a407bf1aac42811fd4cd35b29,"market for sodium silicate, solid",kilogram,32.00228578527269,32.00228578527269,0.0,0.0,32.00228578527269
573,684f1f3173621285c0a19646c827c82b,"market for sawnwood, softwood, dried (u=10%), planed",cubic meter,1750.7476672963583,1750.7476672963583,0.0,0.0,1642.628389578488
574,f5d1c199f9b95cae4fe0bbc1afa067f0,"market for steel, unalloyed",kilogram,3571369.313191262,2206703.538357541,18863.622995780832,1345802.1518379408,2222426.490917023
575,ec6f03e8f121139fb262f7c82912237c,market for sand,kilogram,267772.0922586987,267772.0922586987,0.0,0.0,193288.7625142259
576,dd2b45bf05bd5cefbfdef6585fbfe4f9,"market for electrode, positive, LaNi5",kilogram,85368.3013052924,85368.3013052924,0.0,0.0,63762.63687289405
577,ba2abd9b6d43ca4aafe66bbc57a03b80,"market for sugar, from sugarcane",kilogram,5513101.074533474,41272.098505474794,0.0,5471828.976027999,5513101.074533474
578,2031b08dadfdc43e0f307fd95dd621e2,"market for electricity, medium voltage, aluminium industry",kilowatt hour,28429434.195824664,28429434.195824664,0.0,0.0,21849181.25252669
579,49dc4e27c9ed7738a098359b7fc581fa,"market for building, hall, steel construction",square meter,181.88876950619976,181.88876950619976,0.0,0.0,1.313276314124186
580,a067e70c6e57c93118e713a1e0f4b91a,"market for wastewater, average",cubic meter,-88587.80632673706,-22741.086587920236,-1739.1666284493344,-64107.553110367495,-83077.84169918706
581,afaf7f8701e4b2ffce2f086cd1c9b56a,market for phthalic anhydride,kilogram,24076.836102390986,24076.836102390986,0.0,0.0,21713.37739615453
582,f251fe25f914044c5d0f447679eacf4a,market for styrene-acrylonitrile copolymer,kilogram,18.91983315262631,18.91983315262631,0.0,0.0,0.0
583,0e718dd998cd3c6ca2aac0076cfe10d8,market for cast iron,kilogram,244736.78465416475,0.0,26781.5866101859,217955.19804397886,39610.619805894465
584,0c03435daea210f81f1d92699e4e33e1,"market for steel, chromium steel 18/8",kilogram,3030.8191548476984,1386.2446997179593,1644.5744551297387,0.0,1057.3298086920115
585,13cd130a5d89ef77b329342c60afa8b9,market for dimethylamine,kilogram,76405.45647555175,76405.45647555175,0.0,0.0,68905.25418389018
586,f62bd9d4ee88b2bb7666b9692ae5b74b,"market for application of plant protection product, by field sprayer",hectare,2190.8395188675277,247.81460494052791,0.0,1943.024913927,247.80555283140103
587,c4c0e95f83622e904acb5fea69c867d0,"market for sodium dithionite, anhydrous",kilogram,253938.27118708583,173064.12687194214,10819.566003681262,70054.57831146242,200599.902284177
588,d490921b595b2023e77a9b47e4504151,market for phenol,kilogram,311105.207673429,298152.49313497543,12952.714538453525,0.0,281874.71838127833
589,93f39dbee91a2baba122b290a6e7241c,"market for waste concrete, not reinforced",kilogram,-103700.32405063188,-103700.32405063188,0.0,0.0,-40236.233444370024
590,d3e4be4bdcc407943263ebe7717028d6,market for filter dust from Al electrolysis,kilogram,-3754.9274297104926,-3754.9274297104926,0.0,0.0,-3754.9274297104926
591,ee2eb2ace69d02cf8be1f41f7667b348,market for molybdenum,kilogram,5582.93734465364,5582.93734465364,0.0,0.0,5582.93734465364
592,bf312b74a4cb97180defe51ef582b3d4,"market for propylene glycol, liquid",kilogram,14061.792915728232,9840.971407905454,0.0,4220.821507822779,10136.690767149832
593,10a99599dfc3a449f573b8a45cf09018,"market for section bar rolling, steel",kilogram,6469369.299656229,35437.05371687844,0.0,6433932.245939351,6246122.172068948
594,008a8163b4e7276347fdb6f559cb5c47,"market for polyethylene, low density, granulate",kilogram,16098784.152972119,8522183.184557686,1213.0448471314592,7575387.923567295,6821804.236195344
595,bbcfe1b77f4efa2070ad9e5677f52cf3,"water works construction, capacity 1.1E10l/year, conventional treatment",unit,1.9724658192814693e-05,1.9724658192814693e-05,0.0,0.0,1.9724658192814693e-05
596,6e1d8b37a585e41c9803563a3d321896,"market for acetone, liquid",kilogram,29612.03468388511,29612.03468388511,0.0,0.0,26707.418765946393
597,978ae53ea24c429ff1f2d8bb5b4504f6,"market for soda ash, light, crystalline, heptahydrate",kilogram,21228997.679695457,3553519.3361883415,8576.522923056687,17666901.82058406,4959257.1388320895
598,604303ca2a91283b789128f6b9249f65,market group for tap water,kilogram,29441767.796063904,12601211.266440555,0.0,16840556.52962335,13552746.17185988
599,6c5ba18db5db93211d6dbce38ffe0da8,"market for waste mineral wool, final disposal",kilogram,-356.60498951801156,-64.66876949751482,0.0,-291.93622002049676,-53.342284027513195
600,e44aae508507b04b30a3c703ed3232e8,"market for waste cement, hydrated",kilogram,-16236304.455451412,-161065.54826789582,0.0,-16075238.907183515,-16236304.455451412
601,4e090e7d04c9773e3262ff302a2a2f2f,"market group for natural gas, high pressure",cubic meter,8835.733446531653,4092.827702680261,3350.006266702455,1392.8994771489365,2419.3417562670584
602,5dd704a06a828a85cba4784a08539e6b,market for sodium tripolyphosphate,kilogram,13.739537439471269,13.739537439471269,0.0,0.0,13.739537439471269
603,ece532f8286133279aaee49ba12cbbfc,"market for iron scrap, unsorted",kilogram,4115239.5272559747,4115239.5272559747,0.0,0.0,3968852.2620829474
604,c719f555c112a04edc1c471cb94dbdbe,market for waste glass,kilogram,-7.441882900656841,-7.441882900656841,0.0,0.0,-5.719390939563994
605,3ebc056005a7dbe8e7993b30344368a9,"market for heat and power co-generation unit construction, 6400kW thermal, common components for heat+electricity",unit,0.023286014725338304,0.0,0.0,0.023286014725338304,0.0
606,3e07a0ecaa5df0c4137089cbb9519b75,"market for natural gas, high pressure",cubic meter,6410.664663343646,2969.5040129379986,2430.55847325943,1010.6021771462166,1755.3255538215712
607,fdf88538614dffcc9ed8011b059f4421,market for nitrous oxide,kilogram,604.0731660895788,604.0731660895788,0.0,0.0,604.0731660895788
608,e3d285b3d06ee2ca7f2cbdec998cde22,"market group for electricity, medium voltage",kilowatt hour,239064660.03528148,175930787.12051877,1350739.817857998,61781110.96177026,177748656.71026757
609,424a9be62101921b4667ddb988cc4c37,"market for electricity, medium voltage",kilowatt hour,110972.0700422767,20245.315708819428,0.0,90726.75433345721,16713.95021532837
610,d526bb3cd54b6a4100208f40cc5ee59c,"market for cement, Portland",kilogram,3598103.676490877,3598103.676490877,0.0,0.0,2766496.481472673
611,84703a1182e608ef89e1f286c436815c,market for dimethyl sulfate,kilogram,86423.20427335841,86423.20427335841,0.0,0.0,54830.83312575234
612,6e643b7d9f46dc255b8c85d188c618e7,market for brass,kilogram,26381.070813119808,12875.208963518924,6249.036875710042,7256.824973890844,22117.686918227628
613,ca96cdbdd2c2886ddf39211ac8c7f845,"market for potassium sulfate, as K2O",kilogram,57.40040619570104,6.4927891168251275,0.0,50.90761707887591,6.492551949868654
614,cec117a9995791b9be2f734f712f0176,"market for alkyd resin, long oil, without solvent, in 70% white spirit solution state",kilogram,2.553504073399932,2.553504073399932,0.0,0.0,2.5497571750331107
